2025-12-20 21:37:31,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000868076.json
2025-12-20 21:37:32,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001256536.json
2025-12-20 21:37:32,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000922812.json
2025-12-20 21:37:32,728 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000853927.json
2025-12-20 21:37:33,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000878774.json
2025-12-20 21:37:33,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000005588.json
2025-12-20 21:37:33,727 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001072258.json
2025-12-20 21:37:34,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000824206.json
2025-12-20 21:37:34,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001121783.json
2025-12-20 21:37:34,725 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001095827.json
2025-12-20 21:37:35,061 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000726990.json
2025-12-20 21:37:35,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000811119.json
2025-12-20 21:37:35,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000875612.json
2025-12-20 21:37:36,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001004153.json
2025-12-20 21:37:36,397 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000006071.json
